Date,R1,R1_Change,R2,R2_Change,Cash,Cash_Change,Strategy_Allocation,Strategy,Strategy_Change,RiskAve_Change,AllAve_Change
2003-02-14,287.8178584653779,0.005187611589883414,231.46174183522905,0.009849014245070847,176.01073407053883,0.00017197113312800142,Cash,266.4599101011896,0.000171971133127898,0.00751831291747713,0.0050695323226940875
2003-02-18,289.29523061644215,0.005133010713586326,234.01683911262143,0.011038961588785041,176.0208662397156,5.756563217728936E-05,Cash,266.4752490343645,5.756563217721893E-05,0.008085986151185684,0.005409845978182885
2003-02-19,289.29523061644215,0,233.40742242719492,-0.0026041574090881355,176.0310955166913,5.811400201709217E-05,Cash,266.49073497752437,5.8114002017091206E-05,-0.0013020787045440678,-0.0008486811356903478
2003-02-20,289.29523061644215,0,232.18538589023677,-0.005235637000101529,176.04129242441246,5.792674124562332E-05,Cash,266.50617191737376,5.792674124560478E-05,-0.0026178185000507643,-0.001725903419618635
2003-02-21,290.7766076913712,0.005120641193332058,233.8449278104369,0.0071474865389876945,176.0718472423819,0.00017356619886527226,Cash,266.5524283806076,0.00017356619886521157,0.006134063866159877,0.004147231310395009
2003-02-24,290.7725615408433,-1.3914979475341946E-05,231.69815599743237,-0.009180322332006207,176.08204414989842,5.791333297307734E-05,Cash,266.5678653201472,5.7913332973111044E-05,-0.004597118655740774,-0.00304544132616949
2003-02-25,290.7725615408433,0,232.75682839838393,0.004569187857340092,176.2033592961955,0.0006889694340087497,Cash,266.75152243144174,0.0006889694340088339,0.002284593928670046,0.0017527190971162808
2003-02-26,289.27184716229664,-0.005161127895266827,231.22754482079327,-0.006570305963153773,176.21349146075966,5.750267534422792E-05,Cash,266.7668613576337,5.75026753441394E-05,-0.005865716929210301,-0.003891310394358791
2003-02-27,290.75715032242863,0.005134627426424506,232.5868228728811,0.005878529969867188,176.2236236253238,5.7499368976550634E-05,Cash,266.7822002838256,5.749936897659265E-05,0.0055065786981458465,0.0036902189217560815
2003-02-28,290.75715032242863,0,233.31374633019104,0.0031253853865454333,176.26531017825116,0.00023655485042121754,Cash,266.8453089073088,0.00023655485042118184,0.0015626926932727167,0.0011206467456555504
2003-03-03,292.67830258116993,0.006607411912693704,232.547786737804,-0.0032829595531119735,176.27476258508094,5.362601875667602E-05,Cash,266.85961875884936,5.362601875665287E-05,0.0016622261797908653,0.0011260261261128023
2003-03-04,291.16960961366016,-0.0051547824153837475,230.85597368276387,-0.0072751200033893265,176.28453868652045,5.545945032705203E-05,Cash,266.8744186466202,5.545945032698526E-05,-0.006214951209386537,-0.0041248143228153405
2003-03-05,292.66282837935506,0.0051283469029484415,231.91981984935722,0.00460826787205109,176.29437952673942,5.5823615005068184E-05,Cash,266.8893165414214,5.5823615004986896E-05,0.0048683073874997655,0.003264146130001533
2003-03-06,291.1542151779887,-0.0051547824153837475,230.69192421234376,-0.005294483402975322,176.41569470747527,0.0006881398094568654,Cash,267.0729737048523,0.0006881398094568921,-0.005224632909179535,-0.0032537086696340684
2003-03-07,291.150169740032,-1.3894485278883873E-05,231.75571472194923,0.004611303638987758,176.44556990486274,0.00016934546235810514,Cash,267.1182013010677,0.00016934546235808774,0.0022987045768544374,0.0015889182053556601
2003-03-10,288.1172277368156,-0.010417105392466527,228.504639167533,-0.014028027564786145,176.45544310996934,5.595609519644751E-05,Cash,267.1331481925684,5.595609519642053E-05,-0.012222566478626337,-0.008129725620685408
2003-03-11,288.1172277368156,0,227.58509814557345,-0.004024167847574338,176.46551053098028,5.705361553897417E-05,Cash,267.1483891045031,5.705361553903635E-05,-0.002012083923787169,-0.0013223714106784547
2003-03-12,288.1131827372686,-1.4039422698874725E-05,228.0420989388963,0.002008043571598492,176.47554558270343,5.686692936748443E-05,Cash,267.16358101307696,5.686692936752591E-05,0.0009970020744498086,0.0006836236927557005
2003-03-13,289.6060805542147,0.00518163661503651,231.20307222024132,0.013861358477462591,176.37415995674013,-0.000574502408413242,Cash,267.0100948923446,-0.0005745024084133161,0.009521497546249551,0.00615616422802862
2003-03-14,291.09897837116085,0.005154925663470878,231.20307222024132,0,176.40445584691258,0.0001717705710399024,Cash,267.0559593688177,0.00017177057103988036,0.002577462831735439,0.0017755654115035938
2003-03-17,294.0655768634527,0.010191030243016912,235.25138587413292,0.017509774481003538,176.30294059311154,-0.0005754687619066882,Cash,266.9022770065199,-0.0005754687619067255,0.013850402362010225,0.00904177865403792
2003-03-18,294.0655768634527,0,235.55610503859367,0.0012952916869267478,176.20152256999046,-0.0005752486191093095,Cash,266.7487418402348,-0.0005752486191092305,0.0006476458434633739,0.0002400143559391461
2003-03-19,294.0655768634527,0,236.6192269800659,0.00451324299702622,176.10010454686935,-0.0005755797205488732,Cash,266.59520667394963,-0.0005755797205488764,0.00225662149851311,0.001312554425492449
2003-03-20,295.55839765402135,0.005076489422840085,236.6192269800659,0,175.99875134418488,-0.0005755431147826563,Cash,266.4417696383144,-0.0005755431147826515,0.0025382447114200425,0.001500315436019143
2003-03-21,298.5290349949848,0.010050931946250518,238.88569532861857,0.009578546838645665,175.80611608843518,-0.0010945262638426094,Cash,266.15014212366054,-0.0010945262638426176,0.00981473939244809,0.006178317507017857
2003-03-24,295.4939496376241,-0.01016680122056355,234.85256243420656,-0.016883107583582566,175.92755993864535,0.000690782851656129,Cash,266.3339940778054,0.0006907828516561447,-0.013524954402073058,-0.008786375317496662
2003-03-25,296.9864652303317,0.005050917606055643,236.5181806579484,0.007092186716968167,175.93762732404954,5.722460658082059E-05,Cash,266.3492349358356,5.7224606580857334E-05,0.0060715521615119054,0.00406677630986821
2003-03-26,296.9864652303317,0,235.90662401436967,-0.002585664416483715,176.05907117865934,0.0006902665248868278,Cash,266.53308689664107,0.0006902665248868904,-0.0012928322082418574,-0.0006317992971989623
2003-03-27,296.98242190259987,-1.361451852249049E-05,235.90662401436967,0,176.06920329793857,5.754954408991454E-05,Cash,266.5484257542768,5.754954408982073E-05,-6.807259261245245E-06,1.4645008522474684E-05
2003-03-28,298.4749373929126,0.005025602124028056,235.60124152438738,-0.001294505787017218,176.09949907270652,0.00017206742690077377,Cash,266.5942900560408,0.000172067426900698,0.001865548168505419,0.0013010545879705371
2003-03-31,296.9673445517971,-0.0050509863718669465,233.6020153209226,-0.008485635264608112,176.24159824710517,0.0008069254889815276,Cash,266.80941178390395,0.0008069254889815633,-0.006768310818237529,-0.0042432320491645106
2003-04-01,298.90339827711557,0.006519416228206682,235.41757315037503,0.007772012698427381,176.25160088353513,5.675525261598109E-05,Cash,266.82455461947006,5.675525261595423E-05,0.0071457144633170315,0.004782728059750015
2003-04-02,300.40382849213677,0.005019783059241529,238.27933919386768,0.012156127536259482,176.149664669598,-0.0005783562442901569,Cash,266.67023497217593,-0.0005783562442902313,0.008587955297750506,0.005532518117070285
2003-04-03,301.9042587071579,0.004994710695108264,237.82110707551692,-0.0019230879181594896,176.15937597959748,5.513101610322058E-05,Cash,266.6849367731944,5.513101610312508E-05,0.001535811388474387,0.001042251264350665
2003-04-04,301.9042587071579,0,238.27758013539076,0.0019193967494604476,176.07685139757217,-0.0004684654538902898,Cash,266.56000409324326,-0.0004684654538902369,0.0009596983747302238,0.00048364376519005256
2003-04-07,301.90021596018147,-1.3390824606918356E-05,237.97229001162253,-0.0012812373014480403,175.97491518193488,-0.000578930250218525,Cash,266.4056844433753,-0.0005789302502184919,-0.0006473140630274794,-0.0006245194587578279
2003-04-08,301.90021596018147,0,237.97229001162253,0,176.0961325075802,0.0006888329823600114,Cash,266.5891934655081,0.0006888329823600326,0,0.00022961099412000378
2003-04-09,300.3806385381166,-0.0050333763996554225,236.28345722414542,-0.00709676234739187,176.10584380739394,5.514771775765912E-05,Cash,266.6038952511066,5.514771775775769E-05,-0.006065069373523646,-0.004024997009763211
2003-04-10,301.8849953609192,0.0050081684030102115,237.04321542409522,0.003215452359109024,176.22677018268357,0.0006866687253256921,Cash,266.7869638080256,0.0006866687253257385,0.0041118103810596175,0.0029700964958149756
2003-04-11,301.8809528177619,-1.3391003923503206E-05,236.1250311713338,-0.0038734888535775502,176.25467109174144,0.00015832389726579986,Cash,266.8292025598754,0.00015832389726589774,-0.0019434399287505267,-0.0012428519867450844
2003-04-14,303.3813071868628,0.004970019986675417,238.53909052234505,0.010223648628169347,176.26396158656448,5.271063039345423E-05,Cash,266.84326729534973,5.2710630393534216E-05,0.007596834307422381,0.005082126415079405
2003-04-15,306.3712122816368,0.009855271316806849,239.60128126795667,0.0044529001233535835,176.2733168200755,5.3075134740149935E-05,Cash,266.8574300377159,5.307513474007167E-05,0.007154085720080216,0.004787082191633527
2003-04-16,306.3671702317624,-1.3193308354089282E-05,237.9128701689815,-0.0070467532145077885,176.2827044229128,5.325594937814119E-05,Cash,266.87164178350116,5.325594937805488E-05,-0.003529973261430939,-0.002335563524494579
2003-04-17,306.3671702317624,0,240.1772700052315,0.009517769402898052,176.2920920257501,5.325311333316377E-05,Cash,266.88585352928646,5.325311333316E-05,0.004758884701449026,0.003190340838743739
2003-04-21,307.86745190142386,0.0048970053433811805,239.8720874850743,-0.0012706552961924483,176.30202990531816,5.637166961870012E-05,Cash,266.90089833044755,5.6371669618790985E-05,0.0018131750235943662,0.0012275739056024776
2003-04-22,309.36773357108535,0.004873141543205052,242.73308949028208,0.011927198513190079,176.31216199938336,5.747009305929729E-05,Cash,266.9162371499122,5.747009305929231E-05,0.008400170028197566,0.005619270049818143
2003-04-23,312.35381587679944,0.009652209916157777,243.79504053707547,0.0043749743762722705,176.322391200537,5.801755838982845E-05,Cash,266.93172297828625,5.8017558389833046E-05,0.0070135921462150235,0.004695067283606625
2003-04-24,313.8580306425526,0.004815740001545113,243.0308008033474,-0.0031347632504929615,176.33258803267293,5.783061394811966E-05,Cash,266.9471598037083,5.783061394809516E-05,0.0008404883755260756,0.0005796024550000903
2003-04-25,312.33925795519735,-0.004839043577269389,241.34308975984104,-0.006944432713580222,176.47465467666126,0.0008056743542039427,Cash,267.16223228428976,0.0008056743542040379,-0.0058917381454248055,-0.0036592673122152228
2003-04-28,313.8394001529194,0.004802925535339502,243.75651001679594,0.009999955910718141,176.4848838716532,5.796410261115739E-05,Cash,267.17771810333574,5.796410261125187E-05,0.007401440723028821,0.0049536151828896
2003-04-29,315.3395423506414,0.004779967706384411,244.06082700076004,0.001248446590998255,176.49508069764522,5.7777333493483316E-05,Cash,267.1931549194566,5.777733349347549E-05,0.0030142071486913328,0.002028730543625383
2003-04-30,315.3395423506414,0,244.36514398472414,0.0012468899155338566,176.53408123719208,0.00022097238853734826,Cash,267.2521972291,0.00022097238853726445,0.0006234449577669283,0.0004892874346904015
2003-05-01,315.79149163458777,0.0014332147518747087,244.36514398472414,0,176.6560098407889,0.0006906802513276726,Cash,267.43678304385,0.0006906802513276099,0.0007166073759373543,0.0007079650010674604
2003-05-02,317.29964626026714,0.004775792463162619,246.32973595600933,0.008039575281685812,176.68640260391783,0.00017204488630935576,Cash,267.48279417478375,0.00017204488630936232,0.006407683872424215,0.004329137543719262
2003-05-05,318.8078008859465,0.004753092678969823,245.8718713710427,-0.0018587467046544545,176.58459649172647,-0.0005761966438332988,Cash,267.32867148649706,-0.0005761966438334013,0.0014471729871576842,0.0007727164434940232
2003-05-06,318.8078008859465,0,247.38586934415855,0.006157670516246682,176.706298720747,0.0006892007085466361,Cash,267.5129145963004,0.0006892007085466672,0.003078835258123341,0.0022822904082644394
2003-05-07,318.8078008859465,0,246.928027370012,-0.0018507199920527004,176.71613947420386,5.568988501318512E-05,Cash,267.5278123597538,5.5689885013166046E-05,-0.0009253599960263502,-0.0005983433690131718
2003-05-08,317.2811613911284,-0.004788588894549141,245.54940152873874,-0.005583107984770951,176.72598022766076,5.5686783822727435E-05,Cash,267.54271012320726,5.568678382279069E-05,-0.005185848439660046,-0.0034386700318324546
2003-05-09,318.7892472713702,0.004753152924773472,247.51379566276222,0.007999995609004018,176.7555962861932,0.00016758180372962399,Cash,267.5875454131444,0.0001675818037296593,0.006376574266888745,0.004306910112502372
2003-05-12,320.2973331516119,0.004730667339472588,249.47818979678567,0.007936503614933563,176.87716922177796,0.0006878024692803842,Cash,267.77159278762826,0.0006878024692803896,0.006333585477203076,0.004451657807895512
2003-05-13,321.80942160884774,0.004720889937975524,249.17320249637558,-0.0012225008553193653,176.88700997077174,5.5636061098618204E-05,Cash,267.7864905443251,5.5636061098688345E-05,0.0017491945413280795,0.001184675047918259
2003-05-14,321.80942160884774,0,249.02080211499006,-0.0006116242832643246,177.0085505824211,0.0006871087462524467,Cash,267.97048898410634,0.0006871087462524271,-0.0003058121416321623,2.5161487662707377E-05
2003-05-15,323.31750740011904,0.0046862698541633215,249.9313038229319,0.0036563279059771327,177.01832658897905,5.522900744511447E-05,Cash,267.9852887282375,5.5229007445036005E-05,0.004171298880070227,0.0027992755891951895
2003-05-16,324.82559319139034,0.004664411164734603,249.62632185131903,-0.001220263196117912,177.04771609354242,0.0001660252084045565,Cash,268.02978104164794,0.0001660252084044944,0.0017220739843083455,0.0012033910590070825
2003-05-19,321.758584426387,-0.009442016975541121,246.07346417627167,-0.014232704502866872,177.05752446900928,5.5399615896042726E-05,Cash,268.04462978856634,5.539961589602628E-05,-0.011837360739203997,-0.007873107287503983
2003-05-20,321.758584426387,0,246.07346417627167,0,177.06733284447614,5.539654694861981E-05,Cash,268.05947853548474,5.539654694860336E-05,0,1.8465515649539937E-05
